Date,Strategy,SP500,Nasdaq
2001-04-09,10082.874627565,10081.17394576235,10147.352741408944
2001-04-10,10099.21953755057,10354.031256597496,10765.363325978546
2001-04-11,10098.800890228096,10331.965289892925,11038.096488857826
2001-04-12,10088.261333156554,10488.022680757136,11401.276890313162
2001-04-16,10235.349381929866,10454.170817396538,11099.827725881452
2001-04-17,10206.174769946785,10561.665340047739,11179.171730153907
2001-04-18,9838.398781767257,10972.412774819624,12087.237317368785
2001-04-19,9698.652693479324,11110.036785673912,12684.205120011553
2001-04-20,9782.818773868281,11015.126507787958,12575.332667947401
2001-04-23,9934.541804491302,10850.118540001236,11970.285788761821
2001-04-24,10105.295370719936,10718.165177475854,11722.023312463874
2001-04-25,9951.960545854383,10889.022280507248,11973.075792041282
2001-04-26,9933.21835507397,10940.155445381284,11828.2221322417
2001-04-27,9861.128709172412,11104.366146206876,12065.381374236045
2001-04-30,9855.863190076561,11072.551254470574,12301.146320838197
2001-05-01,9831.644120867115,11223.025623172565,12603.408640663078
2001-05-02,9849.821594261728,11231.799875475488,12907.76417355464
2001-05-03,9884.995364824856,11064.752764906418,12475.295692255942
2001-05-04,9821.903321505868,11224.53253092814,12738.787510219845
2001-05-07,9914.319251559591,11197.060956690893,12634.390981838606
2001-05-08,9869.94790347935,11176.589515046715,12780.871673203908
2001-05-09,9974.439540906871,11126.432112911447,12535.922143062404
2001-05-10,10005.231681131312,11123.241972780705,12374.503740855147
2001-05-11,10071.490497748002,11038.965504192427,12249.935771436818
2001-05-14,10068.76807852419,11067.766580417572,12101.652794487665
2001-05-15,10014.115181940715,11072.373839841028,12122.928318400758
2001-05-16,9943.338959089077,11387.413738627702,12592.945429383493
2001-05-17,9861.617627539876,11418.430282254782,12751.28433076174
2001-05-18,9842.701210885836,11449.180712799413,12781.510277920119
2001-05-21,9658.877621147716,11634.127887203542,13401.788626233365
2001-05-22,9739.235949491447,11603.55487128846,13449.801891317533
2001-05-23,9814.179572749536,11423.393452085422,13040.758908374635
2001-05-24,9802.266755399918,11459.904310559952,13264.782021769706
2001-05-25,9805.8428647841,11324.494685959507,13084.645356942548
2001-05-29,9899.353042099256,11236.230810279358,12645.841905001063
2001-05-30,10015.5659253157,11060.32183010255,12116.65010913399
2001-05-31,10003.607542542279,11128.912612247741,12267.723083549867
2001-06-01,10057.692474880438,11171.893548308486,12494.128901748434
2001-06-04,10057.703155501125,11228.96346573201,12531.853512042715
2001-06-05,10081.266814915443,11374.829493862453,12983.677436556978
2001-06-06,10064.45298940413,11254.840514908867,12891.080932692119
2001-06-07,10034.643185063613,11316.252668683353,13160.036386221806
2001-06-08,10095.970462511337,11209.910233390505,12875.79412049624
2001-06-11,10200.158374966068,11116.24075017768,12618.173219135877
2001-06-12,10213.41121837972,11129.17873419206,12613.348194099039
2001-06-13,10248.80070199355,11002.897092281803,12332.650901549538
2001-06-14,10340.36917598,10810.328834081192,11881.64084158235
2001-06-15,10326.550466193035,10761.499843923864,11790.730263933685
2001-06-18,10301.666050785572,10708.949568618984,11559.383049705146
2001-06-19,10328.137373341591,10745.725459027874,11582.808548060942
2001-06-20,10359.867832872093,10839.307324935882,11807.063682662903
2001-06-21,10339.429056889314,10962.487525168302,11967.030318948042
2001-06-22,10354.012370334489,10858.89171115607,11827.989396068171
2001-06-25,10410.435922480265,10799.074091303843,11921.168446614385
2001-06-26,10442.12987714136,10782.76855252917,12001.093579260387
2001-06-27,10452.151498037072,10732.343947301493,12059.917738670256
2001-06-28,10468.893532482709,10866.424078775904,12354.739586668542
2001-06-29,10415.206684027155,10850.295954630781,12558.650851205422
2001-07-02,10406.989935011521,10959.651124286693,12489.943905548349
2001-07-03,10437.533866849386,10939.534503039738,12443.90748253773
2001-07-05,10490.44190178173,10804.745811918967,12091.132816019317
2001-07-06,10476.943176868186,10550.853034972422,11649.655022637602
2001-07-09,10454.933097782397,10623.432305357579,11780.731815847252
2001-07-10,10357.62755818386,10470.476356171206,11409.182125332913
2001-07-11,10322.661706093648,10458.601752200404,11462.949941840223
2001-07-12,10337.657136457536,10706.379280819827,12065.730475589966
2001-07-13,10440.563599769255,10773.19812327508,12118.336029537444
2001-07-16,10326.093569147088,10655.954675592147,11794.740709456804
2001-07-17,10342.296414299699,10762.208403570223,12016.787684119494
2001-07-18,10236.692455384207,10702.568198347542,11719.466051170679
2001-07-19,10225.340660708138,10767.348988030408,11896.289054874756
2001-07-20,10316.201315130487,10730.39460184388,11796.193893686734
2001-07-23,10360.5372983067,10554.752815897615,11558.97647200856
2001-07-24,10361.707065875307,10383.009738590317,11388.546624443836
2001-07-25,10394.404493298847,10549.967060696521,11534.329810629722
2001-07-26,10348.147645739215,10660.209285776427,11758.934052398343
2001-07-27,10359.482876984264,10685.819131860873,11794.449787786712
2001-07-30,10399.526574129623,10674.299357149166,11729.172868433116
