Horizon,BeatsM,Beats
0,,54.02
1,,57.24
2,,58.25
3,,59.51
4,,60.92
5,,61.06
6,,61.67
7,,63.01
8,,63.56
9,,64.38
10,,64.67
11,,65.29
12,,65.8
13,,66.06
14,,66.41
15,,67.05
16,,67.26
17,,67.48
18,,67.97
19,,68.57
20,,69.65
21,,69.4
22,,70.32
23,,70.5
24,,71.44
25,,71.96
26,,72.27
27,,72.57
28,,73.17
29,,73.41
30,,73.48
31,,74.0
32,,74.22
33,,74.48
34,,74.97
35,,75.56
36,,75.65
37,,76.03
38,,76.45
39,,76.57
40,,76.88
41,,77.26
42,,77.7
43,,77.68
44,,77.86
45,,78.03
46,,78.19
47,,78.15
48,,78.3
49,,78.89
50,,78.9
51,,79.32
52,,79.48
53,,79.98
54,,79.53
55,,79.85
56,,80.07
57,,80.54
58,,81.0
59,,80.99
60,,81.05
61,,81.19
62,,81.35
63,,81.51
64,,81.73
65,,81.76
66,,82.15
67,,82.51
68,,82.54
69,,82.85
70,,82.74
71,,82.61
72,,82.79
73,,83.18
74,,83.38
75,,83.7
76,,83.72
77,,84.1
78,,84.5
79,,84.56
80,,84.54
81,,84.62
82,,84.92
83,,85.2
84,,85.55
85,,85.38
86,,85.44
87,,85.64
88,,85.49
89,,85.43
90,,85.96
91,,86.12
92,,86.13
93,,86.36
94,,86.44
95,,86.43
96,,86.57
97,,86.53
98,,86.89
99,,86.73
100,,86.89
101,,87.01
102,,87.31
103,,87.37
104,,87.49
105,,87.51
106,,87.45
107,,87.44
108,,87.52
109,,87.79
110,,87.8
111,,87.54
112,,87.76
113,,88.0
114,,88.16
115,,88.1
116,,88.32
117,,88.67
118,,88.65
119,,88.69
120,,88.81
121,,88.8
122,,88.9
123,,89.13
124,,88.98
125,,89.08
126,,89.12
127,,88.98
128,,89.06
129,,88.95
130,,89.15
131,,89.17
132,,89.27
133,,89.48
134,,89.27
135,,89.23
136,,89.43
137,,89.34
138,,89.42
139,,89.34
140,,89.48
141,,89.4
142,,89.25
