Date,Strategy,Benchmark
2011-01-06,10000.0,10000.0
2011-01-07,10000.0,9981.552179999999
2011-01-08,10000.0,9981.552179999999
2011-01-09,10000.0,9981.552179999999
2011-01-10,10000.0,9967.8142992346
2011-01-11,10000.0,10004.94567640201
2011-01-12,10000.0,10095.066020975879
2011-01-13,10000.0,10077.795925141743
2011-01-14,9927.853441003253,10152.2158364495
2011-01-15,9927.853441003253,10152.2158364495
2011-01-16,9927.853441003253,10152.2158364495
2011-01-17,9927.853441003253,10152.2158364495
2011-01-18,9880.748459936272,10166.189453940278
2011-01-19,9856.887762959092,10063.35178875958
2011-01-20,9779.807792353475,10050.32015877789
2011-01-21,9784.246734913791,10074.577063770668
2011-01-22,9784.246734913791,10074.577063770668
2011-01-23,9784.246734913791,10074.577063770668
2011-01-24,9700.073365260669,10133.3751214337
2011-01-25,9731.895853507289,10136.044885573965
2011-01-26,9774.90669530565,10178.828189397402
2011-01-27,9814.817233538904,10201.67259254007
2011-01-28,9886.202500856543,10019.546967338261
2011-01-29,9886.202500856543,10019.546967338261
2011-01-30,9886.202500856543,10019.546967338261
2011-01-31,9936.879005861816,10096.322327109216
2011-02-01,9906.13522627787,10264.866273316402
2011-02-02,9921.742318163308,10236.919996278626
2011-02-03,9928.794882417533,10261.019744120636
2011-02-04,9951.806113169674,10290.615218580364
2011-02-05,9951.806113169674,10290.615218580364
2011-02-06,9951.806113169674,10290.615218580364
2011-02-07,9899.556915768775,10354.830421355755
2011-02-08,9917.858977019472,10398.162820742149
2011-02-09,9899.335365838728,10369.195976452927
2011-02-10,9905.575234878217,10376.967615838139
2011-02-11,9886.266227793276,10434.117430504333
2011-02-12,9886.266227793276,10434.117430504333
2011-02-13,9886.266227793276,10434.117430504333
2011-02-14,10020.67201348406,10459.002008626572
2011-02-15,9994.498286422522,10425.168067979845
2011-02-16,9996.237419811516,10490.402882656856
2011-02-17,10002.662502433708,10522.668122487497
2011-02-18,9999.249924506637,10542.92133963515
2011-02-19,9999.249924506637,10542.92133963515
2011-02-20,9999.249924506637,10542.92133963515
2011-02-21,9999.249924506637,10542.92133963515
2011-02-22,9997.14298487487,10326.490304167484
2011-02-23,9913.79704986655,10263.375204357428
2011-02-24,9884.479154564191,10253.169538161805
2011-02-25,9975.751000949844,10361.345777678061
2011-02-26,9975.751000949844,10361.345777678061
2011-02-27,9975.751000949844,10361.345777678061
2011-02-28,9989.285456957494,10418.966111587331
2011-03-01,9951.848140860418,10254.974950316999
2011-03-02,9926.48644901113,10271.538795086228
2011-03-03,9935.36642394933,10448.404431870355
2011-03-04,10022.755256433367,10371.315711112007
2011-03-05,10022.755256433367,10371.315711112007
2011-03-06,10022.755256433367,10371.315711112007
2011-03-07,10008.720921686432,10284.806157508983
2011-03-08,9867.512730871144,10376.57475017944
2011-03-09,9887.29559631473,10362.444933061764
2011-03-10,9899.127860711027,10166.895732127312
2011-03-11,9895.399239657363,10238.88257461173
2011-03-12,9895.399239657363,10238.88257461173
2011-03-13,9895.399239657363,10238.88257461173
2011-03-14,9903.28545165092,10176.94423911385
2011-03-15,9852.71510280489,10062.95892205918
2011-03-16,9910.820149325342,9866.782051084541
2011-03-17,9917.002579407372,9998.979456498062
2011-03-18,9902.438298604779,10042.07707674952
2011-03-19,9902.438298604779,10042.07707674952
2011-03-20,9902.438298604779,10042.07707674952
2011-03-21,9944.426249262835,10192.56609734182
2011-03-22,9960.944766262844,10156.376706472765
2011-03-23,10002.863850904778,10185.97218100534
2011-03-24,10061.749624904394,10281.116782320316
2011-03-25,10124.791230268442,10313.61680098223
2011-03-26,10124.791230268442,10313.61680098223
2011-03-27,10124.791230268442,10313.61680098223
2011-03-28,10148.063999135022,10285.276670352201
2011-03-29,10283.230972073174,10357.891185453811
2011-03-30,10367.406425671043,10427.13064384435
2011-03-31,10346.4157436598,10408.054192690739
2011-04-01,10337.656956285073,10459.709242834024
2011-04-02,10337.656956285073,10459.709242834024
2011-04-03,10337.656956285073,10459.709242834024
2011-04-04,10485.05574641966,10463.320036551413
2011-04-05,10611.511012362105,10461.436060951035
2011-04-06,10521.476264384926,10484.280464541165
2011-04-07,10534.17304342385,10468.344292184096
2011-04-08,10570.20629365453,10426.424398927496
2011-04-09,10570.20629365453,10426.424398927496
2011-04-10,10570.20629365453,10426.424398927496
2011-04-11,10495.116170215384,10397.29943771059
2011-04-12,10392.899932579463,10316.442769570645
2011-04-13,10528.915159442116,10318.405324147618
2011-04-14,10534.306412219232,10319.26873311938
2011-04-15,10576.062809192943,10359.776128882568
2011-04-16,10576.062809192943,10359.776128882568
2011-04-17,10576.062809192943,10359.776128882568
2011-04-18,10578.39255167152,10245.633648741406
2011-04-19,10642.70096609151,10304.353127185697
2011-04-20,10751.969199853816,10443.615913568896
2011-04-21,10768.78337771054,10498.724598036528
2011-04-22,10768.78337771054,10498.724598036528
2011-04-23,10768.78337771054,10498.724598036528
2011-04-24,10768.78337771054,10498.724598036528
2011-04-25,10723.891360798716,10482.003595380847
2011-04-26,10681.769966986109,10576.127628202072
2011-04-27,10681.562237945855,10642.226806673196
2011-04-28,10752.29269438704,10680.064435275086
2011-04-29,10765.06392778662,10704.635655814887
2011-04-30,10765.06392778662,10704.635655814887
2011-05-01,10765.06392778662,10704.635655814887
2011-05-02,10636.95893690603,10685.873518868095
2011-05-03,10461.349523477069,10649.762706948051
2011-05-04,10431.042364000446,10576.755298140128
2011-05-05,10353.78340043928,10480.825864289218
2011-05-06,10440.470972129306,10520.861784817063
2011-05-07,10440.470972129306,10520.861784817063
2011-05-08,10440.470972129306,10520.861784817063
2011-05-09,10533.595833488898,10568.67030198026
2011-05-10,10500.31393997725,10654.002134925518
2011-05-11,10378.25175905203,10535.620232819301
2011-05-12,10383.837579910294,10587.196703192805
2011-05-13,10384.810041491206,10501.786290437078
2011-05-14,10384.810041491206,10501.786290437078
2011-05-15,10384.810041491206,10501.786290437078
