,cik,ticker,E[Fret],t_day,rank,ranking,weight
7,14272,BMYMP,-0.14585039040859105,2011-02-01,2.0,2.0,-0.04
97,1393612,DFS,-0.10792614699503278,2011-02-01,3.0,3.0,-0.04
93,1333141,FMS,-0.032974961611868636,2011-02-01,9.0,9.0,-0.04
92,1326380,GME,-0.02463927187898629,2011-02-01,16.0,16.0,-0.04
88,1164727,NEM,-0.06259290667734008,2011-02-01,5.0,5.0,-0.04
86,1163165,COP,-0.031487708283492566,2011-02-01,10.0,10.0,-0.04
84,1141391,MA,-0.062139267034089896,2011-02-01,6.0,6.0,-0.04
78,1086222,AKAM,-0.026297234015290494,2011-02-01,14.0,14.0,-0.04
74,1065088,EBAY,-0.0446859173330183,2011-02-01,8.0,8.0,-0.04
71,1053507,AMT,-0.007560393277642241,2011-02-01,23.0,23.0,-0.04
70,1051470,CCI,0.002388943604684668,2011-02-01,25.0,25.0,0.04
68,1045609,PLDGP,-0.012779040077922854,2011-02-01,21.0,21.0,-0.04
81,1108524,CRM,-0.02809271383590084,2011-02-01,13.0,13.0,-0.04
64,1041061,YUM,-0.0170222475971038,2011-02-01,19.0,19.0,-0.04
67,1045450,EPR,-0.029135837013529287,2011-02-01,11.0,11.0,-0.04
14,38777,BEN,-0.022307281942145263,2011-02-01,18.0,18.0,-0.04
15,40704,GIS,-0.004173844180700215,2011-02-01,24.0,24.0,-0.04
18,56873,KR,-0.012749175945435232,2011-02-01,22.0,22.0,-0.04
30,320193,AAPL,-0.016385207673329072,2011-02-01,20.0,20.0,-0.04
9,23217,CAG,-0.07571699778366581,2011-02-01,4.0,4.0,-0.04
37,789019,MSFT,-0.028130204867475417,2011-02-01,12.0,12.0,-0.04
38,804328,QCOM,-0.04908908918046162,2011-02-01,7.0,7.0,-0.04
41,820027,AMP,-2.496313144474051,2011-02-01,1.0,1.0,-0.04
57,927066,DVA,-0.024781347795626685,2011-02-01,15.0,15.0,-0.04
36,764180,MO,-0.023665670178876663,2011-02-01,17.0,17.0,-0.04
59,906107,EQR,-0.04895008213227836,2011-03-01,20.0,20.0,-0.04
72,1037868,AME,-0.07073472815544957,2011-03-01,13.0,13.0,-0.04
79,1051470,CCI,-0.09900423743546671,2011-03-01,5.0,5.0,-0.04
80,1053507,AMT,-0.04203181647084331,2011-03-01,22.0,22.0,-0.04
90,1099219,MET,-0.053955844079160986,2011-03-01,18.0,18.0,-0.04
98,1164727,NEM,-0.08249137474564283,2011-03-01,11.0,11.0,-0.04
95,1156039,ELV,-0.42393204769348825,2011-03-01,1.0,1.0,-0.04
102,1326380,GME,-0.06561033672759353,2011-03-01,15.0,15.0,-0.04
105,1364742,BLK,-0.03342196461358116,2011-03-01,25.0,25.0,-0.04
107,1393612,DFS,-0.09261186743452487,2011-03-01,8.0,8.0,-0.04
92,1126328,PFG,-0.09739332020572422,2011-03-01,6.0,6.0,-0.04
52,858877,CSCO,-0.08900025220570873,2011-03-01,9.0,9.0,-0.04
28,79879,PPG,-0.05719541960463803,2011-03-01,16.0,16.0,-0.04
48,820027,AMP,-0.04632158285329302,2011-03-01,21.0,21.0,-0.04
49,823768,WM,-0.049484500702861256,2011-03-01,19.0,19.0,-0.04
9,23217,CAG,-0.06815944856064471,2011-03-01,14.0,14.0,-0.04
13,33185,EFX,-0.08750455570340376,2011-03-01,10.0,10.0,-0.04
15,38777,BEN,-0.11209877753169417,2011-03-01,4.0,4.0,-0.04
24,66740,MMM,-0.09336035004730059,2011-03-01,7.0,7.0,-0.04
7,14272,BMYMP,-0.13699085854960424,2011-03-01,3.0,3.0,-0.04
39,731766,UNH,-0.038893857163532,2011-03-01,23.0,23.0,-0.04
42,764180,MO,-0.14958448861489781,2011-03-01,2.0,2.0,-0.04
43,789019,MSFT,-0.05632700217943398,2011-03-01,17.0,17.0,-0.04
45,804328,QCOM,-0.03493089202175659,2011-03-01,24.0,24.0,-0.04
47,818686,TEVJF,-0.08220995984243373,2011-03-01,12.0,12.0,-0.04
83,1014473,VRSN,-0.09264931646527863,2011-04-01,23.0,23.0,-0.04
84,1018963,ATI,-0.09238986512454384,2011-04-01,24.0,24.0,-0.04
91,1043277,CHRW,-0.10812541642786755,2011-04-01,16.0,16.0,-0.04
95,1051470,CCI,-0.12315951494224242,2011-04-01,10.0,10.0,-0.04
107,1108524,CRM,-0.12711808201532238,2011-04-01,9.0,9.0,-0.04
115,1163653,NRSCF,-0.11050209544564549,2011-04-01,14.0,14.0,-0.04
74,906107,EQR,-0.136506180229103,2011-04-01,8.0,8.0,-0.04
120,1326380,GME,-0.10321833599510599,2011-04-01,17.0,17.0,-0.04
123,1364742,BLK,-0.0999580448854207,2011-04-01,18.0,18.0,-0.04
126,1396009,VMC,-0.09431318506434572,2011-04-01,22.0,22.0,-0.04
112,1156039,ELV,-0.47246802537645927,2011-04-01,1.0,1.0,-0.04
67,858877,CSCO,-0.1532246642964732,2011-04-01,5.0,5.0,-0.04
104,1086222,AKAM,-0.22062780620539746,2011-04-01,2.0,2.0,-0.04
62,818686,TEVJF,-0.09517948904819473,2011-04-01,19.0,19.0,-0.04
4,7332,SWN,-0.11549495500363394,2011-04-01,13.0,13.0,-0.04
8,14272,BMYMP,-0.19340110227997354,2011-04-01,4.0,4.0,-0.04
19,38777,BEN,-0.1164837478651708,2011-04-01,12.0,12.0,-0.04
31,66740,MMM,-0.10958712462063147,2011-04-01,15.0,15.0,-0.04
37,79879,PPG,-0.09460889153784979,2011-04-01,21.0,21.0,-0.04
1,4127,SWKS,-0.12020208253001652,2011-04-01,11.0,11.0,-0.04
42,101382,UMBF,-0.1454478546068696,2011-04-01,7.0,7.0,-0.04
47,354950,HD,-0.14935736076519746,2011-04-01,6.0,6.0,-0.04
56,764180,MO,-0.19386360192901142,2011-04-01,3.0,3.0,-0.04
59,798354,FISV,-0.09129022785583141,2011-04-01,25.0,25.0,-0.04
64,823768,WM,-0.09493539399676587,2011-04-01,20.0,20.0,-0.04
99,906163,NVR,-0.05674924398189207,2011-06-01,9.0,9.0,-0.04
102,914208,IVZ,-0.010015695485921683,2011-06-01,25.0,25.0,-0.04
110,932787,STM,-0.053462966942535606,2011-06-01,10.0,10.0,-0.04
127,1051470,CCI,-0.024949689149340704,2011-06-01,16.0,16.0,-0.04
129,1056288,FHI,-0.010157703370794136,2011-06-01,23.0,23.0,-0.04
140,1086222,AKAM,-0.06633894035155713,2011-06-01,7.0,7.0,-0.04
152,1163653,NMR,-0.08835991864168008,2011-06-01,3.0,3.0,-0.04
166,1356570,WNS,-0.047264407296061184,2011-06-01,12.0,12.0,-0.04
172,1396009,VMC,-0.02680654127288279,2011-06-01,15.0,15.0,-0.04
94,895421,MS,-0.07619634469314102,2011-06-01,5.0,5.0,-0.04
135,1069202,LII,-0.12360533262453399,2011-06-01,1.0,1.0,-0.04
88,858877,CSCO,-0.028646806441208206,2011-06-01,14.0,14.0,-0.04
175,1445930,KB,-0.07321486587364073,2011-06-01,6.0,6.0,-0.04
78,798941,FCNCB,-0.015673773080720488,2011-06-01,19.0,19.0,-0.04
1,4127,SWKS,-0.05760506536273008,2011-06-01,8.0,8.0,-0.04
12,20286,CINF,-0.07897138857022151,2011-06-01,4.0,4.0,-0.04
22,37996,F,-0.013840115249947382,2011-06-01,22.0,22.0,-0.04
24,39263,CFR,-0.03518608464959355,2011-06-01,13.0,13.0,-0.04
25,40545,GE,-0.014027416762889822,2011-06-01,20.0,20.0,-0.04
79,800240,ODP,-0.01007999194760495,2011-06-01,24.0,24.0,-0.04
49,87347,SLB,-0.014024028578631997,2011-06-01,21.0,21.0,-0.04
55,99780,TRN,-0.04848476184592043,2011-06-01,11.0,11.0,-0.04
65,715153,HMC,-0.01930433058685116,2011-06-01,17.0,17.0,-0.04
71,756894,GOLD,-0.11839480520543649,2011-06-01,2.0,2.0,-0.04
43,74303,OLN,-0.01882647057136716,2011-06-01,18.0,18.0,-0.04
182,1012100,SEE,-0.09648254238227894,2011-07-01,22.0,22.0,-0.04
190,1032975,LOGI,-0.148594388905068,2011-07-01,7.0,7.0,-0.04
204,1046311,CHH,-0.09920963766698593,2011-07-01,19.0,19.0,-0.04
220,1069202,LII,-0.12412448361861489,2011-07-01,11.0,11.0,-0.04
224,1070985,CXW,-0.1320418065671975,2011-07-01,8.0,8.0,-0.04
248,1163739,NBR,-0.11285968074955044,2011-07-01,13.0,13.0,-0.04
262,1289308,ENS,-0.09346204229042082,2011-07-01,25.0,25.0,-0.04
267,1308547,DLB,-0.09874703080972003,2011-07-01,20.0,20.0,-0.04
269,1315257,KOP,-0.12667887521176252,2011-07-01,10.0,10.0,-0.04
141,880807,AMSC,-0.1957431954226877,2011-07-01,1.0,1.0,-0.04
235,1120193,NDAQ,-0.09765205278619676,2011-07-01,21.0,21.0,-0.04
280,1379041,EIG,-0.09478535729180176,2011-07-01,23.0,23.0,-0.04
138,876437,MTG,-0.1773253103287037,2011-07-01,3.0,3.0,-0.04
129,851310,HLIT,-0.11699784446878231,2011-07-01,12.0,12.0,-0.04
132,864749,TRMB,-0.1287518617009769,2011-07-01,9.0,9.0,-0.04
13,18349,SNV,-0.10790167275641771,2011-07-01,16.0,16.0,-0.04
72,97210,TER,-0.10971354365880903,2011-07-01,14.0,14.0,-0.04
83,315213,RHI,-0.09962627339519409,2011-07-01,18.0,18.0,-0.04
92,720672,SF,-0.15532368184257916,2011-07-01,6.0,6.0,-0.04
77,103730,VSH,-0.1560330552004281,2011-07-01,5.0,5.0,-0.04
101,756894,GOLD,-0.09378757750097727,2011-07-01,24.0,24.0,-0.04
105,780571,ITRI,-0.10021417766647395,2011-07-01,17.0,17.0,-0.04
119,814585,MBI,-0.15658445393858028,2011-07-01,4.0,4.0,-0.04
126,825542,SMG,-0.10821835267561547,2011-07-01,15.0,15.0,-0.04
98,745308,JOE,-0.19294659975115913,2011-07-01,2.0,2.0,-0.04
203,1032975,LOGI,-0.13759363923977053,2011-08-01,5.0,5.0,-0.04
182,932787,STM,-0.07284308043817372,2011-08-01,14.0,14.0,-0.04
184,936395,CIEN,-0.13401269169935537,2011-08-01,6.0,6.0,-0.04
188,944695,THG,-0.07090442358501348,2011-08-01,17.0,17.0,-0.04
226,1056288,FHI,-0.06818844191585938,2011-08-01,21.0,21.0,-0.04
147,880807,AMSC,-0.12125349511320316,2011-08-01,7.0,7.0,-0.04
261,1163653,NMR,-0.06853079004170526,2011-08-01,18.0,18.0,-0.04
281,1308547,DLB,-0.0812220931576414,2011-08-01,10.0,10.0,-0.04
283,1315257,KOP,-0.06469804279629704,2011-08-01,24.0,24.0,-0.04
305,1445930,KB,-0.6182778078560471,2011-08-01,1.0,1.0,-0.04
237,1070985,CXW,-0.06851849500006668,2011-08-01,19.0,19.0,-0.04
144,876437,MTG,-0.15668388160516,2011-08-01,3.0,3.0,-0.04
218,1047127,AMKR,-0.06471593504295065,2011-08-01,23.0,23.0,-0.04
135,851310,HLIT,-0.08466651093328459,2011-08-01,9.0,9.0,-0.04
1,4127,SWKS,-0.06733525673886576,2011-08-01,22.0,22.0,-0.04
13,18349,SNV,-0.09861391793337804,2011-08-01,8.0,8.0,-0.04
31,36966,FHN,-0.06824913852489511,2011-08-01,20.0,20.0,-0.04
59,70858,BAC-PL,-0.16243876115480438,2011-08-01,2.0,2.0,-0.04
75,97210,TER,-0.06239532977895901,2011-08-01,25.0,25.0,-0.04
138,864749,TRMB,-0.07818293951770866,2011-08-01,12.0,12.0,-0.04
95,720672,SF,-0.07379014614831098,2011-08-01,13.0,13.0,-0.04
102,745308,JOE,-0.13987384406191766,2011-08-01,4.0,4.0,-0.04
109,780571,ITRI,-0.07259542113150336,2011-08-01,15.0,15.0,-0.04
131,825542,SMG,-0.08055339763821684,2011-08-01,11.0,11.0,-0.04
79,102037,UVV,-0.07230644638262362,2011-08-01,16.0,16.0,-0.04
316,1445930,KB,-0.20589283138372783,2011-09-01,7.0,7.0,-0.04
191,936395,CIEN,-0.2518074412487372,2011-09-01,5.0,5.0,-0.04
202,1012100,SEE,-0.11270595973131217,2011-09-01,25.0,25.0,-0.04
211,1032975,LOGI,-0.14233043889627484,2011-09-01,12.0,12.0,-0.04
226,1047127,AMKR,-0.1368569390386657,2011-09-01,14.0,14.0,-0.04
259,1123360,GPN,-0.13781848991106604,2011-09-01,13.0,13.0,-0.04
247,1086222,AKAM,-0.11732643079043842,2011-09-01,24.0,24.0,-0.04
188,932787,STM,-0.13646589849651541,2011-09-01,15.0,15.0,-0.04
285,1282977,GHL,-0.1277154869267072,2011-09-01,19.0,19.0,-0.04
291,1308547,DLB,-0.27115709014663314,2011-09-01,3.0,3.0,-0.04
241,1069202,LII,-0.13056173043350955,2011-09-01,18.0,18.0,-0.04
152,880807,AMSC,-0.19301930535598488,2011-09-01,8.0,8.0,-0.04
200,1002047,NTAP,-0.1320329418027949,2011-09-01,16.0,16.0,-0.04
140,851310,HLIT,-0.1554650749836491,2011-09-01,11.0,11.0,-0.04
149,876437,MTG,-0.2674105773254435,2011-09-01,4.0,4.0,-0.04
21,25445,CR,-0.8827230807023181,2011-09-01,1.0,1.0,-0.04
31,36966,FHN,-0.12241293440180029,2011-09-01,21.0,21.0,-0.04
13,18349,SNV,-0.1647966509941689,2011-09-01,10.0,10.0,-0.04
60,70858,BAC-PL,-0.12502261248249225,2011-09-01,20.0,20.0,-0.04
41,45876,HSC,-0.1183672368403221,2011-09-01,23.0,23.0,-0.04
71,85961,R,-0.1929335977009986,2011-09-01,9.0,9.0,-0.04
84,103730,VSH,-0.12063278520834922,2011-09-01,22.0,22.0,-0.04
87,108516,WOR,-0.24304836578954206,2011-09-01,6.0,6.0,-0.04
107,745308,JOE,-0.1310650897448314,2011-09-01,17.0,17.0,-0.04
65,76334,PH,-0.8284416423912526,2011-09-01,2.0,2.0,-0.04
228,936395,CIEN,-0.14906399421722327,2011-11-01,6.0,6.0,-0.04
237,1002047,NTAP,-0.09975327581290325,2011-11-01,25.0,25.0,-0.04
250,1032975,LOGI,-0.12174796520677983,2011-11-01,17.0,17.0,-0.04
281,1069202,LII,-0.11589981973092692,2011-11-01,19.0,19.0,-0.04
288,1086222,AKAM,-0.10716040517011721,2011-11-01,22.0,22.0,-0.04
373,1445930,KB,-0.1360467409180595,2011-11-01,8.0,8.0,-0.04
334,1282977,GHL,-0.13262836543554987,2011-11-01,12.0,12.0,-0.04
335,1289308,ENS,-0.10433436778998281,2011-11-01,24.0,24.0,-0.04
341,1307954,HUN,-0.12409218955565252,2011-11-01,16.0,16.0,-0.04
187,895421,MS,-0.10942854807956834,2011-11-01,21.0,21.0,-0.04
319,1163739,NBR,-0.14455198376731124,2011-11-01,7.0,7.0,-0.04
178,880807,AMSC,-0.21430478883815687,2011-11-01,4.0,4.0,-0.04
69,70858,BAC-PL,-0.4975496252037641,2011-11-01,2.0,2.0,-0.04
162,851310,HLIT,-0.1334707814787341,2011-11-01,10.0,10.0,-0.04
174,876437,MTG,-0.22918226651939927,2011-11-01,3.0,3.0,-0.04
